research_area,citation_key,established_contribution,relation_to_lets,remaining_gap,novelty_audit_verdict
Autonomous agents,wooldridge1995agents,Canonical agent properties and autonomy taxonomy.,Defines the autonomous subject but not distributed population invariants.,No partition-safe resource or lineage semantics.,Background
Contract-based coordination,smith1980contractnet,Distributed task allocation through manager-contractor negotiation.,Precedent for delegation and hierarchical task decomposition.,No conserved multi-dimensional effect budget or revocation bound.,Background
Hierarchical planning,erol1994htn,Formal complexity and expressivity of hierarchical task-network planning.,Reasoner may emit LETS transition proposals.,Planning formalism does not govern effects across descendants.,Orthogonal
Hierarchical planning,nau2003shop2,Practical ordered HTN planning system.,Interchangeable reasoning module in the proposed architecture.,No execution-time population invariant.,Orthogonal
Actor model,hewitt1973actors,Asynchronous actors with local state and message passing.,Natural implementation substrate for wardens and agents.,Actor isolation does not conserve rights across a lineage.,Orthogonal
Actor model,agha1986actors,Formal concurrent actor computation model.,Supports dynamic creation and distributed execution.,"No quota, attenuation, or revocation semantics.",Orthogonal
Agent protocols,yadav2015hapn,HAPN uses hierarchical finite-state structures for agent protocols.,Closest AAMAS precedent for HSM-governed agent behavior.,"No distributed escrow, dynamic lineage accounting, or partition analysis.",Component prior art
Open agent systems,artikis2009dynamic,Dynamic protocols for open populations whose interaction rules can change.,Relevant to open membership and lifecycle change.,Does not enforce conserved effect rights across recursive descendants.,Component prior art
LLM agents,yao2023react,Interleaves language-model reasoning and environment action.,Example replaceable reasoner that submits effects to a warden.,Model-level prompting is not a trusted governance boundary.,Orthogonal
LLM agents,schick2023toolformer,Learns when and how to call external tools.,Illustrates growing effect surface.,No execution-time population limits.,Motivation
LLM agents,shinn2023reflexion,Uses verbal feedback and episodic memory for agent improvement.,Represents a mutable reasoner behind a fixed mediation layer.,No lineage-wide authority preservation.,Motivation
Recursive search,yao2023tot,Search over branching thought trajectories.,Example of recursive task decomposition independent of LETS.,"Branches are cognitive, not governed executable descendants.",Orthogonal
Multi-agent RL,rashid2018qmix,Monotonic value factorization for cooperative decentralized policies.,Shows a non-LLM reasoning backend.,Policy coordination does not enforce hard resource invariants.,Orthogonal
Agent evaluation,liu2024agentbench,Interactive benchmark for LLM agents across environments.,Potential task substrate for an end-to-end evaluation.,Does not evaluate lineage conservation or partition-safe execution.,Benchmark prior art
Agent security benchmark,debenedetti2024agentdojo,Dynamic prompt-injection environment for tool-using agents.,Useful adversarial workload for complete mediation.,Focuses prompt injection rather than population accounting.,Benchmark prior art
Multi-agent security,peigne2025securitytax,Measures security/collaboration trade-offs under compromised agents.,Supports the need to quantify utility loss under controls.,No conserved lineage authority or offline revocation theorem.,Motivation
Resource-bounded agents,ye2026agentcontracts,"Multi-dimensional agent contracts, lifecycle semantics, hierarchical budget delegation, and conservation laws.",Very close to the initial hierarchical-contract candidate.,Does not define a partition-safe distributed escrow object for churn-heavy descendant lineages.,Reject generic contract candidate
Agent runtime,zhang2026agentlibos,"Long-running agent process runtime with identity, parent-child lineage, capabilities, checkpoints, and audit.",Collides with generic secure agent-runtime proposals.,Does not provide population-wide partition-safe conserved transition envelopes.,Reject generic runtime candidate
Stateful agent governance,peng2026provenact,Policy-state serializability and coordinated state/effect enforcement.,Collides with stateful-policy and reservation-only contributions.,Does not target offline recursive lineages with bounded local rights.,Reject stateful-policy-only candidate
Execution control,fatmi2026faramesh,Protocol-agnostic non-bypassable action authorization boundary.,Supports complete mediation at effect time.,"No distributed conserved rights, descendant population semantics, or partition availability.",Component prior art
Behavioral governance,kaul2026agentbound,"Composes delegation, behavioral constitutions, site contracts, and verifiable receipts.",Close to governance receipts and standing delegation.,No lineage-wide escrow conservation under partition.,Component prior art
Evolving-agent authorization,zhang2026fixedceiling,Fixed effect ceiling and attenuating delegation across agent mutation.,Closest authority-boundary prior art.,Population-level authority across independent descendants and cross-generation revocation remain outside its principal model.,Strong adjacent prior art
Agent identity lineage,malkapuram2025lineage,Merkle-log lineage assurance for non-human identities.,Provides cryptographic provenance concepts.,Lineage proofs do not conserve finite rights or bound offline effects.,Component prior art
Agent identity,rodriguez2026agenturi,Topology-independent naming and capability-oriented discovery.,Potential identity layer for mobile agents.,Naming/discovery is orthogonal to population invariants.,Orthogonal
Self-sovereign agents,qu2026selfsovereign,Analyzes economically self-sustaining autonomous agents and barriers.,Motivates resource economics and persistent lifecycles.,Conceptual analysis rather than an enforcement protocol.,Motivation
Self-evolving safety,lin2026selfevolving,Lifecycle/module threat matrix and lineage-persistent attack amplification.,Motivates branch containment and lineage-aware controls.,Does not define a partition-safe conserved-authority mechanism.,Motivation
Replication risk,zhang2025agentmatrix,Scenario-driven benchmark and overuse metrics for spontaneous self-replication.,Potential replication workload and baseline metrics.,Measurement rather than a general enforcement architecture.,Benchmark prior art
Autonomous replication,air2026selfreplicate,Empirical autonomous exploitation and replication across hosts.,Shows replication is an actionable system behavior.,"Offensive capability demonstration, not a defense architecture.",Motivation
Adaptive worms,guan2026adaptiveworms,LLM-powered worms adapt exploits and propagate using stolen compute.,Motivates hard population/resource ceilings independent of model refusals.,Does not present defensive lineage escrow.,Motivation
Database escrow,oneil1986escrow,Allocates invariant-preserving rights to transactions without central coordination.,Foundational conservation mechanism reused by LETS.,"No recursive agent lineage, capability attenuation, or HSM effects.",Core component prior art
Bounded CRDTs,balegas2015bounded,Escrow-like numeric invariants in eventually consistent databases.,Closest partition-safety mechanism.,Replica set is not a churn-heavy recursive agent population.,Core component prior art
Distributed counters,almeida2019counters,Scalable eventually consistent counters over unreliable networks.,Provides counter representation and transfer context.,No descendant semantics or complete mediation.,Core component prior art
Dynamic counter identities,enes2017identity,Reclaims/borrows CRDT identities to keep metadata tied to active nodes.,Directly challenges the metadata-scaling claim.,Does not separate stable accounting wardens from unbounded ephemeral descendants or define lineage revocation.,Strong adjacent prior art
Quantity transfer,shoker2015exactlyonce,Idempotent exactly-once transfer of conserved quantity.,Basis for inter-warden rights migration.,No recursive leases or lifecycle/effect mediation.,Core component prior art
Distributed quotas,walfish2006quota,"Expiring, splittable vouchers for decentralized spam quota enforcement.","Collides with voucher, expiry, and offline quota ideas.",No recursive lineage and no HSM/capability integration.,Reject voucher-only novelty
Distributed storage quotas,pollack2007quota,Distributed vouchers with validity periods for high-performance storage quotas.,Collides with expiring resource leases.,Static storage nodes rather than recursively created agents.,Component prior art
Cloud quotas,behl2012dqmp,Decentralized fault-tolerant global quota protocol using diffusion.,Collides with decentralized quota balancing.,"No lineage structure, authority attenuation, or branch revocation.",Component prior art
Tree quotas,lakew2014treequota,Tree overlay redistributes local quota units with low communication overhead.,Collides with hierarchical quota redistribution.,"Topology tree is not a delegation lineage and assumes cloud nodes, not ephemeral agents.",Strong adjacent prior art
Finite-resource delegation,agudo2009quota,Recursive delegation subtracts finite quota from the delegator.,Directly disproves novelty of recursive quota delegation.,Uses centralized checking assumptions and does not solve partition-safe operational semantics under churn.,Reject recursive-delegation novelty
Capabilities,dennis1966capabilities,Capability semantics for naming and authority in multiprogrammed systems.,Authority model underlying attenuating agent capabilities.,No distributed quantity conservation.,Foundational component
Protection principles,saltzer1975protection,"Least privilege, complete mediation, and fail-safe defaults.",Defines the trusted boundary assumptions.,Principles do not instantiate a distributed agent protocol.,Foundational component
Attenuated credentials,birgisson2014macaroons,Bearer credentials with contextual caveats and decentralized attenuation.,Candidate token format for leases.,Caveats do not conserve finite quantities across siblings.,Core component prior art
Transitive delegation,andersen2019wave,Decentralized authorization with transitive delegation and cryptographic enforcement.,Collides with transitive delegation claims.,No conserved consumable budget or partition-bounded branch exposure.,Strong adjacent prior art
Revocation,chuat2020delegation,Systematizes delegation and revocation mechanisms and latency trade-offs.,Frames the unavoidable revocation/availability tension.,Does not give LETS's resource-residual exposure bound.,Foundational component
Distributed access control,hayton1998oasis,Secure interworking services and role-based access control in open distributed environments.,Precedent for distributed authorization domains.,No resource conservation or dynamic descendants.,Background
Verified kernel,murray2013sel4,Machine-checked information-flow enforcement in a small kernel.,Motivates a narrow trusted warden core.,Does not solve agent-lineage governance.,Engineering precedent
Proof-carrying code,necula1997pcc,Code consumers verify proofs before execution.,Collides with evidence-carrying-transition candidate.,Proof certificates do not inherently manage distributed consumable authority.,Reject evidence-only candidate
Runtime enforcement,schneider2000enforceable,Characterizes security policies enforceable by execution monitors.,Formal basis for complete mediation and safety-property enforcement.,No distributed availability or lineage allocation.,Foundational component
Hierarchical state machines,harel1987statecharts,"Hierarchy, concurrency, and history in reactive state machines.",Defines the proposed transition-control structure.,No distributed rights accounting.,Core component prior art
Statechart semantics,harel1996statemate,Operational semantics for executable statecharts.,Basis for deterministic machine digests and enabled-transition checks.,No agent lineage or resource invariants.,Core component prior art
Petri nets,murata1989petrinets,"Concurrency, reachability, liveness, and invariants in Petri nets.",Alternative formal model and verification baseline.,Token conservation alone lacks identity/capability/lease semantics.,Alternative formalism
Temporal logic,pnueli1977temporal,Temporal logic for program correctness.,Expresses lifecycle and safety properties.,Specification formalism rather than protocol.,Formal-method component
Temporal logic,lamport1994tla,Action-based temporal specification of concurrent systems.,Used for the supplied finite LETS model.,Does not by itself establish implementation correctness.,Formal-method component
Model checking,clarke1986modelchecking,Algorithmic temporal-logic verification of finite concurrent systems.,Basis for exhaustive small-scope validation.,State explosion prevents direct proof of the full deployment.,Formal-method component
Timed automata,alur1994timed,Formal clocks and timed reachability.,Natural extension for lease expiry and skew bounds.,Not yet integrated into the preliminary checker.,Future formalization
Graph rewriting,milner2001bigraphs,Graphical reactive systems for locality and mobility.,Candidate semantics for migration and topology change.,No built-in finite-right conservation across lineages.,Alternative formalism
Runtime shields,bloem2015shield,Synthesizes runtime shields that correct unsafe reactive outputs.,Collides with a generic HSM safety-shield candidate.,Does not address distributed consumable budgets or dynamic descendants.,Reject shield-only candidate
Runtime assurance,pek2020onlineverification,Online verification layer filters unsafe trajectories for autonomous vehicles.,Shows domain transfer of reasoner-independent runtime checks.,"Single-system motion safety, not population-wide authority.",Engineering precedent
Self-stabilization,dijkstra1974selfstabilizing,Convergence to legitimate states after transient faults.,Motivates recovery specifications.,"LETS v0 proves safety, not self-stabilizing liveness.",Future work
Autonomic systems,kephart2003autonomic,MAPE-style self-management vision.,Motivates autonomous infrastructure and lifecycle management.,High-level architecture lacks hard partition-safe invariants.,Background
Self-adaptive systems,garlan2004rainbow,"Architecture-based monitoring, analysis, planning, and execution.",Potential control loop around LETS wardens.,Adaptation policy does not conserve descendant authority.,Orthogonal
Cyber-physical systems,lee2008cps,Design challenges in integrating computation and physical processes.,Motivates sensor evidence and physical consequences.,No distributed agent replication control.,Background
Sensor networks,akyildiz2002wsn,Comprehensive WSN architecture and protocol survey.,"Defines constrained, partition-prone target environments.",No agent lifecycle or authority model.,Background
Sensor coordination,estrin1999sensor,Scalable localized coordination in sensor networks.,Supports local operation during partitions.,No hard global consumable invariant.,Adjacent systems prior art
Sensor scheduling,heinzelman2000leach,Cluster-based energy-aware sensor communication.,Candidate workload for resource-aware autonomous agents.,Optimization rather than authorization safety.,Workload prior art
Sensor operating systems,hill2000tinyos,Event-driven architecture for constrained networked sensors.,Plausible edge deployment substrate.,No recursive lineage governance.,Engineering precedent
Swarm behavior,reynolds1987flocks,Local rules yield emergent collective motion.,Motivates decentralized cognition.,No explicit global safety budget.,Background
Swarm intelligence,dorigo1996antsystem,Stigmergic multi-agent optimization.,Alternative non-LLM reasoning module.,Soft optimization does not enforce hard invariants.,Orthogonal
Swarm intelligence,kennedy1995pso,Population-based optimization through local/social dynamics.,Alternative distributed decision mechanism.,"No lifecycle, capability, or quota semantics.",Orthogonal
Swarm robotics,brambilla2013swarmrobotics,Engineering taxonomy and methods for robot swarms.,Target domain for population controls.,Survey does not define partition-safe authority lineage.,Background
Collective construction,werfel2014termites,Decentralized robots build structures using local rules.,Concrete cyber-physical transfer domain.,No cryptographic identity or hard population budget.,Workload prior art
Self-reproduction,vonneumann1966selfreproducing,Formal architecture for self-reproducing automata.,Establishes replication as a general computation primitive.,No modern security or distributed resource governance.,Background
Self-reproduction,langton1984selfreproduction,Self-reproducing cellular automata with simplified local rules.,Shows replication independent of cognition.,No capability or resource accounting.,Background
Self-modifying software,cohen1987viruses,Formal and experimental analysis of computer viruses.,Security precedent for uncontrolled replication.,Does not provide constructive containment architecture.,Motivation
Biological replication,eigen1971selforganization,Replication dynamics and error thresholds in molecular evolution.,Inspires population/resource models.,Biological model is not an access-control protocol.,Analogy only
Evolutionary computation,stanley2002neat,Evolves neural topology and parameters.,Represents mutable/evolving reasoners.,No effect-governance layer.,Orthogonal
Self-modification,schmidhuber2003godel,Self-referential machine that rewrites itself after proving utility.,Extreme future reasoning module.,Assumes proof machinery; no distributed lineage quota.,Speculative background
AI safety,amodei2016concrete,Defines practical accident problems including side effects and reward hacking.,Motivates external safety layers.,No distributed systems protocol.,Motivation
AI safety benchmarks,leike2017gridworlds,Test environments for safety properties.,Evaluation design precedent.,Single-agent toy environments do not test lineage partitions.,Benchmark prior art
Interruptibility,hadfield2017offswitch,Game-theoretic analysis of agent incentives around shutdown.,Motivates revocation semantics.,Does not enforce revocation technically under network partition.,Motivation
Cluster management,verma2015borg,"Large-scale lifecycle, scheduling, and resource management.",Operational precedent for stable controllers managing ephemeral tasks.,Strong coordinator; no offline recursive delegation.,Engineering precedent
Orchestration,burns2016kubernetes,"Lessons from Borg, Omega, and Kubernetes orchestration.",Supports stable control-plane/ephemeral-workload separation.,Control-plane quotas do not give lineage-scoped offline authority.,Engineering precedent
Agent lifecycle,bellifemine2001jade,FIPA-compliant multi-agent runtime and lifecycle services.,Baseline lifecycle implementation.,No formal conserved authority or partition theorem.,Engineering precedent
Agent lifecycle,fipa2004management,"Standard agent management, directory, and lifecycle roles.",Interoperability context for agent lifecycle management.,No lineage escrow semantics.,Standards background
